Year,Month,Domestic Debt,External Debt,Total,Domestic Interest,Foreign Interest,Nominal GDP,Annual GDP growth (%),Date,Domestic Interest Rate (%),External Interest Rate (%),Debt-to-GDP Ratio (%),Domestic Debt Composition,External Debt Composition
2005,6,315572.5,433975.65,749548.15,23375.0,7427.0,1415823.0,5.7,2005-06-01,7.407172678227665,1.711386341606954,52.94080898530395,42.101698203110764,57.89830179688923
2005,7,324027.42,435399.9,759427.32,2098.0,1946.0,1415823.0,5.7,2005-07-01,0.6474760685376565,0.4469454402722646,53.63857770356888,42.66733780396523,57.332662196034775
2005,8,325380.53,434850.69,760231.23,4201.0,2603.0,1415823.0,5.7,2005-08-01,1.2911036809731669,0.5985962676062443,53.69535810620395,42.80020566900416,57.19979301560658
2005,9,328799.98,418860.33,747660.31,6529.0,3222.0,1415823.0,5.7,2005-09-01,1.9857057168920753,0.769230163190675,52.807470284068,43.97718798260134,56.02281201739865
2005,10,332725.65,418417.49,751143.14,8970.0,5031.0,1415823.0,5.7,2005-10-01,2.6959147874532663,1.2023875961781618,53.05346360385443,44.29590477255773,55.70409522744227
2005,11,333501.48,417897.89,751399.38,11198.0,5155.0,1415823.0,5.7,2005-11-01,3.357706238664968,1.2335549241466617,53.071561911340616,44.384050463283586,55.61594820586624
2005,12,335001.89,408601.92,743603.81,13761.0,5824.0,1415823.0,5.7,2005-12-01,4.107738019030281,1.4253481726174955,52.5209584813921,45.05112608285317,54.94887391714681
2006,1,333950.84,407544.63,741495.47,16873.0,6887.0,1622565.0,6.5,2006-01-01,5.052540068472354,1.6898762719557856,45.698968608345425,45.03747541438116,54.962524585618844
2006,2,338613.23,407132.44,745745.67,19690.0,8075.0,1622565.0,6.5,2006-02-01,5.8148938835024255,1.9833840801288152,45.96091188950828,45.405993440096,54.594006559903995
2006,3,346064.04,407003.71,753067.75,22772.0,8715.0,1622565.0,6.5,2006-03-01,6.580284966909593,2.141258122683943,46.41217763232906,45.95390520972382,54.04609479027618
2006,4,348220.36,406531.77,754752.13,25419.0,9276.0,1622565.0,6.5,2006-04-01,7.299688048108388,2.28174048980231,46.51598734103102,46.137048993819995,53.862951006180005
2006,5,349489.93,406493.69,755983.63,28364.0,9378.0,1622565.0,6.5,2006-05-01,8.115827543300032,2.3070468818347463,46.59188568716816,46.22982775433907,53.770170922880965
2006,6,357838.95,431236.83,789075.78,31445.0,9664.0,1622565.0,6.5,2006-06-01,8.787472688481786,2.240995974300247,48.63138179364155,45.34912350243471,54.65087649756529
2006,7,364835.71,430667.84,795503.56,3009.0,582.0,1622565.0,6.5,2006-07-01,0.8247547916841801,0.13513895070502593,49.02753110044898,45.86223473343098,54.13776400950362
2006,8,367963.31,431095.63,799058.94,5964.0,925.0,1622565.0,6.5,2006-08-01,1.6208137708077472,0.21456956081879092,49.246652060163996,46.049583025752774,53.95041697424724
2006,9,371591.47,422647.93,794239.41,8918.0,1531.0,1622565.0,6.5,2006-09-01,2.3999474476634246,0.3622400327383598,48.94962050826931,46.78582620320993,53.21417253772386
2006,10,375524.02,424414.09,799938.11,11732.0,1861.0,1622565.0,6.5,2006-10-01,3.124167663096491,0.43848685607963667,49.300836021977545,46.944134215583254,53.05586578441675
2006,11,381034.85,424933.07,805967.92,14389.0,1957.0,1622565.0,6.5,2006-11-01,3.776295002937396,0.4605431156487773,49.67245811415876,47.27667696749022,52.72332303250978
2006,12,385121.22,407742.55,792863.77,17559.0,2756.0,1622565.0,6.5,2006-12-01,4.5593436788551935,0.6759167028312351,48.86483869675483,48.573441563611865,51.42655843638813
2007,1,378127.61,417467.73,795595.34,20634.0,3224.0,1833511.0,6.9,2007-01-01,5.456887953778356,0.7722752606530809,43.39190438453873,47.527630063796,52.472369936204
2007,2,385824.93,416510.41,802335.34,23507.0,3560.0,1833511.0,6.9,2007-02-01,6.092659694126038,0.854720533875732,43.759505124321585,48.08773972239588,51.912260277604126
2007,3,386287.74,409055.74,795343.48,27789.0,4158.0,1833511.0,6.9,2007-03-01,7.193860203795232,1.016487386291169,43.378167897547385,48.56866872159435,51.43133127840566
2007,4,390491.89,420265.23,810757.12,30959.0,4532.0,1833511.0,6.9,2007-04-01,7.928205628034937,1.0783666305204453,44.21883042970563,48.163855779644585,51.83614422035541
2007,5,390795.61,419743.45,810539.06,33698.0,4623.0,1833511.0,6.9,2007-05-01,8.622921838860984,1.1013870496371057,44.20693740043011,48.214284700850804,51.78571529914918
2007,6,404690.11,396564.0,801254.11,36860.0,5677.0,1833511.0,6.9,2007-06-01,9.108203805623024,1.431546988632352,43.70053465727776,50.50708694648692,49.49291305351308
2007,7,410229.01,410512.75,820741.77,3443.0,400.0,1833511.0,6.9,2007-07-01,0.8392873044253988,0.09743911729903638,44.76339492918232,49.98271380777903,50.01728497381095
2007,8,415915.04,409066.12,824981.16,7413.0,685.0,1833511.0,6.9,2007-08-01,1.7823351615272196,0.1674545914484436,44.994611976693896,50.41509553987875,49.584904460121244
2007,9,426821.36,408680.79,835502.14,10454.0,1069.0,1833511.0,6.9,2007-09-01,2.449268237184756,0.26157334187398434,45.56842800506787,51.08560942764312,48.9143917692419
2007,10,418488.14,419738.84,838226.99,14026.0,1501.0,1833511.0,6.9,2007-10-01,3.3515884106058533,0.3576033135270493,45.71704178485976,49.92539550653219,50.07460330047354
2007,11,426062.44,424243.21,850305.66,17568.0,1729.0,1833511.0,6.9,2007-11-01,4.123339292710242,0.40754924516057656,46.3758144892504,50.106974473155915,49.893024350796395
2007,12,438059.11,406923.0,844982.11,21111.0,2330.0,1833511.0,6.9,2007-12-01,4.819212640047596,0.5725899003005482,46.08546717199951,51.842412379594634,48.157587620405366
2008,1,432183.9,424205.02,856388.92,24572.0,2752.0,2107589.0,1.5,2008-01-01,5.685542659039357,0.6487429120947225,40.63358273363545,50.46584442031315,49.53415557968685
2008,2,434621.39,425976.18,860597.57,27931.0,3036.0,2107589.0,1.5,2008-02-01,6.426512970288922,0.712715908199374,40.833272995826036,50.50227948005942,49.49772051994058
2008,3,444736.37,425086.89,869823.26,30969.0,4069.0,2107589.0,1.5,2008-03-01,6.9634511789535,0.9572160646967965,41.271009670291505,51.12950991906102,48.87049008093897
2008,4,437870.94,425992.78,863863.72,33692.0,4492.0,2107589.0,1.5,2008-04-01,7.694504686700607,1.0544779655655196,40.9882439128312,50.68750195922107,49.312498040778934
2008,5,442684.75,429644.66,872329.41,38243.0,4719.0,2107589.0,1.5,2008-05-01,8.63887902169659,1.0983495058451327,41.38992042566174,50.747429230891115,49.25257076910888
2008,6,430611.73,439967.0,870578.73,42181.0,5696.0,2107589.0,1.5,2008-06-01,9.79559939066221,1.2946425527369096,41.30685489438405,49.462698221446324,50.537301778553676
2008,7,428148.13,432808.95,860957.07,3213.0,356.0,2107589.0,1.5,2008-07-01,0.7504412082799474,0.08225338223712796,40.85033040123098,49.72932390229399,50.27067725920411
2008,8,433489.36,433670.73,867160.09,6742.0,605.0,2107589.0,1.5,2008-08-01,1.5552861551203934,0.13950676357613528,41.14464869573716,49.9895423000844,50.01045769991559
2008,9,449333.84,432954.02,882287.86,10417.0,1087.0,2107589.0,1.5,2008-09-01,2.318320828006188,0.25106592150362755,41.862424789653005,50.928258267092104,49.071741732907896
2008,10,454685.97,434487.59,889173.56,13629.0,1536.0,2107589.0,1.5,2008-10-01,2.9974533852452057,0.3535198784388755,42.189134598823586,51.13579513093034,48.86420486906965
2008,11,451392.1,450248.35,901640.45,18805.0,1692.0,2107589.0,1.5,2008-11-01,4.166001132939632,0.3757926042371949,42.780658373145805,50.06342605858023,49.93657394141977
2008,12,456227.91,516671.33,972899.25,21359.0,2637.0,2107589.0,1.5,2008-12-01,4.681651326417097,0.5103824901606211,46.16171606513414,46.89364392047789,53.106355051666455
2009,1,454266.44,512475.65,966742.1,25176.0,3380.0,3275642.0,2.7,2009-01-01,5.542121931789634,0.6595435314829103,29.513057287701162,46.98941320544539,53.01058576015259
2009,2,478896.43,514635.34,993531.77,30472.0,3944.0,3275642.0,2.7,2009-02-01,6.362962446807131,0.7663678907087881,30.33090215597431,48.20142087655637,51.79857912344363
2009,3,474749.81,513623.0,988372.81,33510.0,4442.0,3275642.0,2.7,2009-03-01,7.0584546416142855,0.8648366603520481,30.173407533546097,48.033475344187174,51.96652465581282
2009,4,497450.16,511981.59,1009431.75,37346.0,4896.0,3275642.0,2.7,2009-04-01,7.5074857750573445,0.9562843851475206,30.81630257518984,49.280217310382795,50.71978268961721
2009,5,489234.39,517929.1,1007163.49,42089.0,6267.0,3275642.0,2.7,2009-05-01,8.603033813710438,1.2100111772055289,30.747056302245486,48.5754691127654,51.424530887234596
2009,6,518346.15,535143.7,1053489.84,45949.0,6109.0,3275642.0,2.7,2009-06-01,8.864539651736585,1.1415625373147438,32.16132410074117,49.202766872436094,50.797234076789955
2009,7,530400.97,532144.51,1062545.48,4509.0,558.0,3275642.0,2.7,2009-07-01,0.8501115674807307,0.10485873470723206,32.437777998938834,49.917954570754,50.082045429246
2009,8,547182.36,530075.39,1077257.75,8834.0,826.0,3275642.0,2.7,2009-08-01,1.61445262964983,0.15582689096356653,32.886919571796916,50.79400542720626,49.20599457279374
2009,9,550613.8,524982.6,1075596.4,13497.0,1490.0,3275642.0,2.7,2009-09-01,2.4512643889419405,0.28381893037978784,32.83620126985794,51.19148781085545,48.80851218914455
2009,10,567125.13,523899.66,1091024.79,19631.0,1917.0,3275642.0,2.7,2009-10-01,3.4614935860803766,0.3659097621861408,33.307204816643576,51.98095727962332,48.01904272037668
2009,11,562926.79,521232.48,1084159.26,25789.0,2199.0,3275642.0,2.7,2009-11-01,4.581235154930181,0.4218846837787239,33.09761139953633,51.92288723337566,48.077113688998054
2009,12,588970.31,588970.31,1177940.63,31144.0,3167.0,3275642.0,2.7,2009-12-01,5.287872660338345,0.5377181067072803,35.96060344811796,49.9999995755304,49.9999995755304
2010,1,580721.47,525552.75,1106274.22,34415.0,3623.0,3597630.0,8.1,2010-01-01,5.926248946848823,0.6893694305661991,30.7500832492502,52.493446877935924,47.506553122064076
2010,2,607512.61,525369.18,1132881.79,38861.0,3886.0,3597630.0,8.1,2010-02-01,6.396739649568755,0.739670340007383,31.489669310073577,53.62541929462914,46.37458070537086
2010,3,639116.32,538157.99,1177274.31,43440.0,4483.0,3597630.0,8.1,2010-03-01,6.796884798685785,0.8330267474055343,32.723607208078654,54.287799756710896,45.71220024328909
2010,4,653614.42,537424.84,1191039.26,46510.0,4898.0,3597630.0,8.1,2010-04-01,7.1158160800675105,0.9113832550054813,33.106218816276275,54.87765533438419,45.122344665615806
2010,5,650261.96,541976.71,1192238.67,51923.0,5194.0,3597630.0,8.1,2010-05-01,7.984935794183625,0.9583437635170708,33.139557708824974,54.541257246755805,45.458742753244195
2010,6,660267.68,565452.0,1225719.68,58438.0,6341.0,3597630.0,8.1,2010-06-01,8.850652814022336,1.1214037619461952,34.07019843619271,53.86775547244213,46.13224452755789
2010,7,667803.42,562941.95,1230745.37,3762.0,491.0,3597630.0,8.1,2010-07-01,0.5633394330325532,0.08722036082050734,34.209892901715854,54.26007980838473,45.739920191615255
2010,8,698047.35,566166.88,1264214.23,9380.0,747.0,3597630.0,8.1,2010-08-01,1.3437483861230903,0.13193989729671224,35.140195906749724,55.2159067217587,44.7840932782413
2010,9,704702.77,594223.0,1298925.77,14487.0,1596.0,3597630.0,8.1,2010-09-01,2.0557603314089428,0.26858603588215196,36.1050405405781,54.252736089761314,45.747263910238686
2010,10,696132.65,598080.46,1294213.11,21612.0,2303.0,3597630.0,8.1,2010-10-01,3.104580714609493,0.38506524690674565,35.97404708099499,53.78810063205124,46.21189936794875
2010,11,711448.98,599251.46,1310700.44,27223.0,2789.0,3597630.0,8.1,2010-11-01,3.8264163369803414,0.4654139682863685,36.43233017291939,54.280059599278076,45.71994040072192
2010,12,720207.97,599930.46,1320138.43,34214.0,3634.0,3597630.0,8.1,2010-12-01,4.750572254844667,0.6057368715700817,36.69466926837946,54.555488548272926,45.444511451727074
2011,1,730197.77,615604.98,1345802.75,36737.0,4169.0,4162514.0,5.1,2011-01-01,5.0311027380979265,0.6772199925998,32.3314888550525,54.25741402296882,45.74258597703118
2011,2,746670.28,630400.03,1377070.31,41645.0,4429.0,4162514.0,5.1,2011-02-01,5.577428366373441,0.7025697635198399,33.082658941207164,54.22165263297267,45.77834736702732
2011,3,754048.1,642847.92,1396896.02,49214.0,5159.0,4162514.0,5.1,2011-03-01,6.526639348338654,0.8025226246356992,33.558950672598336,53.98025974760813,46.01974025239187
2011,4,735460.06,652675.73,1388135.79,52846.0,5159.0,4162514.0,5.1,2011-04-01,7.1854343796725,0.7904384616844876,33.3484954044599,52.98185273358595,47.01814726641404
2011,5,746574.73,675887.12,1422461.85,58183.0,6174.0,4162514.0,5.1,2011-05-01,7.793325659442023,0.9134661420978107,34.17314272096142,52.48469264746889,47.5153073525311
2011,6,764222.8,722888.31,1487111.11,69209.0,6989.0,4162514.0,5.1,2011-06-01,9.056128657768388,0.9668160216894363,35.72627287259575,51.38975795830078,48.61024204169922
2011,7,781713.03,744486.6,1526199.63,2737.0,567.0,4162514.0,5.1,2011-07-01,0.3501284864088807,0.07615986640995284,36.66533325773799,51.21957931545299,48.78042068454702
2011,8,776852.6,768510.85,1545363.45,11384.0,826.0,4162514.0,5.1,2011-08-01,1.4654002573976068,0.10748059054729027,37.12572378134944,50.26989605584369,49.730103944156305
2011,9,764274.59,799834.03,1564108.62,17366.0,1551.0,4162514.0,5.1,2011-09-01,2.2722199883683167,0.1939152301384326,37.57605668113069,48.863268204480576,51.13673179551942
2011,10,794565.56,810011.6,1604577.16,23738.0,2102.0,4162514.0,5.1,2011-10-01,2.9875445394335993,0.2595024565080302,38.54827058839922,49.518688150839694,50.48131184916031
2011,11,803894.34,728645.25,1532539.59,29467.0,2559.0,4162514.0,5.1,2011-11-01,3.665531467729951,0.35119970932357003,36.81764409681265,52.455045549590004,47.54495445040999
2011,12,799880.06,685607.92,1485487.98,37749.14,3454.61,4162514.0,5.1,2011-12-01,4.719350048556029,0.5038754511470638,35.68727888963256,53.846282889478516,46.15371711052149
2012,1,809278.11,686718.48,1495996.59,38182.22,4060.8,4767191.0,4.6,2012-01-01,4.718059160156946,0.5913340208931032,31.381091926041982,54.09625365523058,45.9037463447694
2012,2,877292.72,663050.0,1540342.72,51178.0,4339.0,4767191.0,4.6,2012-02-01,5.833628711748571,0.654400120654551,32.31132799168315,56.95438480080589,43.04561519919412
2012,3,887871.4,676330.0,1564201.4,56422.0,5099.0,4767191.0,4.6,2012-03-01,6.354749122451741,0.7539219020300741,32.81180468749836,56.7619617269234,43.238038273076604
2012,4,896036.72,700900.0,1596936.72,65007.0,5645.0,4767191.0,4.6,2012-04-01,7.254948212390225,0.8053930660579255,33.49848411779599,56.10971986416594,43.89028013583406
2012,5,889056.81,721040.0,1610096.81,73800.0,6134.0,4767191.0,4.6,2012-05-01,8.30093186058605,0.8507156329745923,33.774539555893604,55.217599617503744,44.78240038249625
2012,6,858829.55,774550.0,1633379.55,82339.0,8880.0,4767191.0,4.6,2012-06-01,9.587350598264813,1.1464721451165192,34.26293492331228,52.57991322347583,47.420086776524165
